Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2022,4,Buenos Aires,28.934,23.347,259.866,281.550,244.555,98.670,3.760.109,97.634,4.794.665
2022,4,Capital Federal,516,5.096,31.320,64.653,36.336,8.116,1.299.117,106.772,1.551.926
2022,4,Catamarca,71,315,2.716,5.028,4.638,3.122,52.739,2.280,70.909
2022,4,Chaco,461,771,16.067,17.846,6.704,3.039,94.866,3.909,143.663
2022,4,Chubut,109,1.614,46.457,31.007,34.728,15.770,19.048,20.026,168.759
2022,4,Córdoba,99,9.929,143.686,108.195,63.120,20.691,686.330,17.610,1.049.660
2022,4,Corrientes,67,3.282,22.647,24.858,7.025,3.770,85.806,7.998,155.453
2022,4,Entre Ríos,107,4.722,45.629,46.700,20.927,22.483,130.406,0,270.974
2022,4,Formosa,84,245,22.458,12.391,6.724,310,18.930,698,61.840
2022,4,Jujuy,58,1.763,18.652,14.070,36.430,335,46.910,0,118.218
2022,4,La Pampa,68,1.687,52.618,10.334,9.167,4.479,19.783,16.028,114.164
2022,4,La Rioja,18,595,2.531,3.010,24.435,5.029,50.644,0,86.262
2022,4,Mendoza,103,2.954,35.541,20.355,35.935,14.909,161.163,21.144,292.104
2022,4,Misiones,51,3.510,35.622,21.373,12.196,3.182,101.745,8.590,186.269
2022,4,Neuquén,168,994,38.814,13.960,13.008,5.739,85.247,2.250,160.180
2022,4,Río Negro,111,1.081,32.053,13.931,20.442,7.335,57.495,29.644,162.092
2022,4,Salta,114,1.197,31.530,71.105,5.036,117,90.014,6.747,205.860
2022,4,San Juan,24,2.027,30.069,11.247,20.440,8.188,19.991,11.840,103.826
2022,4,San Luis,60,624,11.785,24.684,13.981,78.506,2.227,3.353,135.220
2022,4,Santa Cruz,51,6.810,11.616,11.509,10.374,3.236,5.559,1.048,50.203
2022,4,Santa Fe,468,9.374,115.767,194.420,73.345,22.899,453.078,18.340,887.691
2022,4,Santiago Del Estero,178,1.267,26.183,58.136,17.735,661,14.345,989,119.494
2022,4,Tierra Del Fuego,22,902,11.649,13.634,21.365,3.612,1.812,2.264,55.260
2022,4,Tucumán,39,1.562,29.996,35.425,26.369,1.375,153.538,15.118,263.422
2022,3,Buenos Aires,29.985,27.709,290.315,297.915,267.044,124.190,3.618.689,65.821,4.721.668
2022,3,Capital Federal,517,5.742,34.371,67.829,51.946,28.692,1.253.105,105.477,1.547.679
2022,3,Catamarca,71,384,3.107,5.389,5.099,3.737,50.298,2.208,70.293
2022,3,Chaco,461,987,16.782,18.938,8.049,15.828,79.390,3.711,144.146
2022,3,Chubut,109,1.444,45.707,30.940,34.682,15.309,17.563,20.024,165.778
2022,3,Córdoba,99,11.312,153.324,111.615,70.989,27.112,650.344,13.873,1.038.668
2022,3,Corrientes,67,3.865,23.427,23.948,7.776,21.706,56.950,7.107,144.846
2022,3,Entre Ríos,107,5.549,47.210,46.855,18.263,32.021,102.195,16.759,268.959
2022,3,Formosa,97,307,23.538,19.545,6.194,564,17.704,589,68.538
2022,3,Jujuy,58,1.879,19.135,15.254,36.083,519,45.895,0,118.823
2022,3,La Pampa,68,1.887,61.540,9.653,11.592,5.609,22.731,3.012,116.092
2022,3,La Rioja,18,689,2.842,3.375,24.219,5.331,50.390,0,86.864
2022,3,Mendoza,103,2.953,44.232,21.977,48.201,17.243,150.043,4.771,289.523
2022,3,Misiones,51,3.749,36.628,20.758,12.676,19.615,80.330,8.350,182.157
2022,3,Neuquén,134,991,38.485,14.080,9.200,6.700,78.713,14.858,163.161
2022,3,Río Negro,111,1.221,32.936,17.860,27.934,13.629,42.596,24.271,160.558
2022,3,Salta,114,1.490,32.923,71.199,5.662,1.001,85.661,6.491,204.541
2022,3,San Juan,24,2.027,30.324,11.247,22.157,6.780,19.221,11.619,103.399
2022,3,San Luis,60,307,6.563,20.813,12.061,67.438,13,14.815,122.070
2022,3,Santa Cruz,52,6.841,12.342,11.313,11.378,2.333,4.604,647,49.510
2022,3,Santa Fe,468,11.132,132.709,198.588,70.897,57.455,396.352,20.209,887.810
2022,3,Santiago Del Estero,178,1.384,28.357,58.982,16.087,910,12.342,792,119.032
2022,3,Tierra Del Fuego,22,831,12.002,14.815,20.102,1.752,1.021,3.351,53.896
2022,3,Tucumán,39,2.047,32.571,39.018,25.214,4.348,159.600,280,263.117
2022,2,Buenos Aires,30.639,28.323,295.238,307.554,273.954,129.869,3.535.757,65.849,4.667.183
2022,2,Capital Federal,517,5.980,36.036,72.434,55.372,31.571,1.229.254,105.607,1.536.771
2022,2,Catamarca,71,413,3.678,6.155,7.165,3.393,43.926,2.207,67.008
2022,2,Chaco,461,1.047,17.603,20.109,8.391,15.974,76.271,3.708,143.564
2022,2,Chubut,109,1.444,45.804,31.217,34.290,14.526,15.394,20.021,162.805
2022,2,Córdoba,99,11.971,160.486,120.485,71.923,28.645,619.400,13.426,1.026.435
2022,2,Corrientes,67,3.937,24.253,24.842,8.001,21.719,55.071,7.107,144.997
2022,2,Entre Ríos,107,5.656,48.637,48.557,18.512,32.355,98.769,16.759,269.352
2022,2,Formosa,97,407,23.834,19.706,6.330,591,16.326,590,67.881
2022,2,Jujuy,58,1.829,19.458,15.790,37.786,549,37.391,2.453,115.314
2022,2,La Pampa,68,1.887,62.546,9.842,11.800,5.247,17.125,3.012,111.527
2022,2,La Rioja,18,728,3.179,3.890,23.814,5.481,48.920,0,86.030
2022,2,Mendoza,103,2.954,44.961,22.557,64.138,19.543,121.366,3.940,279.562
2022,2,Misiones,51,3.808,37.254,21.712,12.774,19.757,75.107,8.350,178.813
2022,2,Neuquén,134,999,38.826,15.066,9.205,2.039,76.982,18.717,161.968
2022,2,Río Negro,111,1.227,33.364,17.938,27.168,13.714,41.972,24.270,159.764
2022,2,Salta,114,1.530,33.732,72.661,6.012,1.156,81.478,6.494,203.177
2022,2,San Juan,24,2.027,30.385,11.276,24.649,3.728,16.701,11.617,100.407
2022,2,San Luis,60,306,6.840,21.217,11.052,67.438,13,14.815,121.741
2022,2,Santa Cruz,52,6.841,12.348,11.369,11.885,2.454,3.592,644,49.185
2022,2,Santa Fe,468,11.757,138.534,204.381,74.133,58.114,373.888,17.584,878.859
2022,2,Santiago Del Estero,178,1.401,29.581,59.931,14.606,883,10.672,792,118.044
2022,2,Tierra Del Fuego,22,831,12.052,14.828,19.968,1.712,1.006,3.351,53.770
2022,2,Tucumán,39,2.195,34.461,43.513,23.634,4.863,145.541,281,254.527
2022,1,Buenos Aires,31.591,30.056,313.382,321.756,290.127,161.183,3.381.049,26.280,4.555.424
2022,1,Capital Federal,527,5.575,39.918,77.390,61.053,43.289,1.188.072,1.717,1.417.541
2022,1,Catamarca,71,456,4.386,7.009,8.773,3.761,35.715,2.207,62.378
2022,1,Chaco,461,1.099,16.888,21.235,20.898,13.012,62.946,7.580,144.119
2022,1,Chubut,113,1.677,61.369,31.856,33.080,13.871,14.055,15.607,171.628
2022,1,Córdoba,100,12.782,165.922,126.009,73.967,34.892,577.027,13.104,1.003.803
2022,1,Corrientes,67,4.029,24.563,25.665,27.077,10.452,43.631,7.094,142.578
2022,1,Entre Ríos,107,5.745,50.075,49.620,42.294,21.578,81.757,16.750,267.926
2022,1,Formosa,97,448,24.113,6.945,6.613,716,15.028,588,54.548
2022,1,Jujuy,58,1.761,22.141,16.321,37.923,576,35.287,2.442,116.509
2022,1,La Pampa,301,2.223,62.812,9.869,12.044,5.250,14.400,2.833,109.732
2022,1,La Rioja,18,778,3.576,4.692,23.624,5.645,45.970,0,84.303
2022,1,Mendoza,114,3.355,51.230,26.407,74.178,21.566,95.048,3.287,275.185
2022,1,Misiones,51,3.873,35.655,22.261,26.855,15.854,58.610,8.349,171.508
2022,1,Neuquén,137,1.123,39.856,15.623,11.163,2.654,71.238,7.885,149.679
2022,1,Río Negro,116,1.383,35.565,18.859,26.926,14.144,37.729,22.652,157.374
2022,1,Salta,114,1.725,35.576,68.246,6.313,2.214,76.838,6.489,197.515
2022,1,San Juan,26,2.269,32.356,11.914,25.144,2.088,11.916,2.465,88.178
2022,1,San Luis,61,643,8.287,3.837,9.802,68.612,13,28.589,119.844
2022,1,Santa Cruz,51,6.898,12.710,11.502,12.277,2.628,2.551,485,49.102
2022,1,Santa Fe,468,12.435,143.796,208.361,84.787,58.018,344.170,18.444,870.479
2022,1,Santiago Del Estero,178,1.401,30.220,61.170,13.542,849,8.309,792,116.461
2022,1,Tierra Del Fuego,24,894,12.849,15.640,18.034,1.767,982,2.421,52.611
2022,1,Tucumán,39,2.212,36.028,46.961,21.014,5.211,133.846,273,245.584
2021,4,Buenos Aires,37.821,11.026,352.950,331.292,297.296,196.021,3.259.793,22.958,4.509.157
2021,4,Capital Federal,563,1.695,47.133,81.899,66.135,66.755,1.147.939,0,1.412.119
2021,4,Catamarca,71,0,6.038,7.855,9.804,3.262,29.827,2.233,59.090
2021,4,Chaco,461,112,18.845,22.678,21.937,13.692,58.435,7.585,143.745
2021,4,Chubut,126,1.294,63.698,39.568,31.175,5.780,2.904,15.763,160.308
2021,4,Córdoba,100,2.479,184.548,130.892,76.246,41.198,538.700,12.607,986.770
2021,4,Corrientes,67,645,28.830,26.368,22.922,10.087,39.911,7.082,135.912
2021,4,Entre Ríos,107,3.024,56.043,49.636,38.295,24.068,77.290,16.583,265.046
2021,4,Formosa,84,0,22.908,6.983,6.811,1.135,13.775,1.967,53.663
2021,4,Jujuy,58,175,22.446,16.793,38.134,564,33.421,2.324,113.915
2021,4,La Pampa,301,493,64.840,9.082,12.259,4.821,12.184,3.027,107.007
2021,4,La Rioja,18,1,5.018,5.437,23.559,5.671,43.424,0,83.128
2021,4,Mendoza,156,1.463,66.428,30.308,75.214,18.621,75.031,366,267.587
2021,4,Misiones,51,5,41.916,23.554,26.721,15.954,54.596,8.335,171.132
2021,4,Neuquén,140,940,42.313,13.264,10.515,3.310,69.217,7.767,147.466
2021,4,Río Negro,156,1.174,38.373,19.878,31.255,4.130,36.142,22.645,153.753
2021,4,Salta,114,20,40.673,69.324,6.642,3.535,72.622,6.475,199.405
2021,4,San Juan,44,1.442,28.906,10.955,23.978,398,9.800,4.435,79.958
2021,4,San Luis,62,264,8.550,4.276,9.107,67.363,9,29.218,118.849
2021,4,Santa Cruz,52,297,20.305,11.641,13.054,1.770,876,491,48.486
2021,4,Santa Fe,467,581,169.706,206.856,85.690,62.349,322.015,18.777,866.441
2021,4,Santiago Del Estero,178,909,31.915,61.524,12.205,800,7.537,793,115.861
2021,4,Tierra Del Fuego,26,385,13.505,16.534,16.562,1.748,1.017,2.580,52.357
2021,4,Tucumán,39,97,37.321,48.736,21.023,5.326,125.857,240,238.639
2021,3,Buenos Aires,37.193,31.149,1.108.940,248.153,141.383,192.797,2.482.266,9.728,4.251.609
2021,3,Capital Federal,295,603,156.978,67.013,39.785,73.502,1.075.229,0,1.413.405
2021,3,Catamarca,71,0,6.755,8.428,10.517,1.659,26.618,2.206,56.254
2021,3,Chaco,301,112,22.545,20.986,23.852,14.412,49.705,7.958,139.871
2021,3,Chubut,104,105,89.168,26.281,18.538,5.320,1.643,14.907,156.066
2021,3,Córdoba,99,2.452,204.989,141.285,65.050,47.198,476.459,9.256,946.788
2021,3,Corrientes,67,645,29.629,28.478,24.792,9.687,35.468,5.053,133.819
2021,3,Entre Ríos,107,3.024,61.354,59.776,39.114,16.284,67.961,12.755,260.375
2021,3,Formosa,381,0,22.778,7.142,6.978,1.192,12.707,1.617,52.795
2021,3,Jujuy,48,175,23.884,16.417,37.755,561,29.917,2.401,111.158
2021,3,La Pampa,298,313,65.063,7.395,8.737,4.023,10.506,4.152,100.487
2021,3,La Rioja,18,1,5.366,5.979,23.315,4.868,42.613,0,82.160
2021,3,Mendoza,36,31,151.871,12.640,62.628,7.596,21.087,50,255.939
2021,3,Misiones,51,5,41.932,25.099,26.079,14.792,42.291,8.279,158.528
2021,3,Neuquén,112,327,57.441,8.566,6.234,3.631,57.919,5.579,139.809
2021,3,Río Negro,125,557,68.991,3.730,14.880,2.282,34.011,20.009,144.585
2021,3,Salta,101,20,41.431,70.104,6.962,3.878,67.010,6.327,195.833
2021,3,San Juan,18,333,59.873,752,13.250,338,278,4.641,79.483
2021,3,San Luis,60,0,11.552,2.405,6.491,67.942,22,29.392,117.864
2021,3,Santa Cruz,50,0,30.561,8.365,6.799,1.788,678,735,48.976
2021,3,Santa Fe,467,579,193.207,201.250,83.941,55.080,290.793,16.267,841.584
2021,3,Santiago Del Estero,123,909,32.752,61.838,11.274,801,6.863,898,115.458
2021,3,Tierra Del Fuego,17,0,23.723,13.397,9.782,1.433,976,895,50.223
2021,3,Tucumán,32,97,39.446,50.293,21.986,5.300,115.154,164,232.472
2021,2,Buenos Aires,37.192,31.178,1.096.049,244.001,140.322,236.897,2.337.604,9.108,4.132.351
2021,2,Capital Federal,294,603,157.558,73.568,43.859,86.655,1.037.752,66,1.400.355
2021,2,Catamarca,71,0,7.219,9.091,6.828,4.941,25.388,2.206,55.744
2021,2,Chaco,301,112,23.444,21.574,24.032,16.069,47.239,7.958,140.729
2021,2,Chubut,104,105,89.639,22.605,16.604,3.896,1.112,5.172,139.237
2021,2,Córdoba,99,2.452,201.757,136.516,66.950,70.824,442.357,9.925,930.880
2021,2,Corrientes,67,645,29.419,27.037,24.524,10.059,32.697,5.053,129.501
2021,2,Entre Ríos,107,3.024,63.518,55.349,39.468,18.484,61.605,16.077,257.632
2021,2,Formosa,381,0,22.364,7.310,7.460,1.341,11.077,1.618,51.551
2021,2,Jujuy,48,175,24.182,16.577,37.908,607,29.950,2.401,111.848
2021,2,La Pampa,298,554,64.146,7.769,8.128,3.399,9.311,4.062,97.667
2021,2,La Rioja,18,1,5.312,5.971,23.298,4.825,42.158,19,81.602
2021,2,Mendoza,36,31,137.462,10.886,56.117,4.403,20.686,50,229.671
2021,2,Misiones,51,5,41.643,25.907,25.811,16.172,38.308,8.279,156.176
2021,2,Neuquén,112,327,57.713,8.631,5.871,5.943,54.008,5.645,138.250
2021,2,Río Negro,125,557,69.356,3.663,15.019,3.867,31.488,20.009,144.084
2021,2,Salta,101,20,42.543,67.012,7.099,9.654,58.882,6.328,191.639
2021,2,San Juan,18,333,59.989,784,12.550,340,278,4.641,78.933
2021,2,San Luis,60,0,11.752,2.703,5.418,65.946,22,36.917,122.818
2021,2,Santa Cruz,50,0,30.595,8.463,6.888,1.575,676,735,48.982
2021,2,Santa Fe,467,896,202.018,204.077,80.452,75.195,262.124,15.371,840.600
2021,2,Santiago Del Estero,123,909,32.034,62.224,10.359,811,6.064,1.566,114.090
2021,2,Tierra Del Fuego,17,0,21.335,6.913,4.580,476,889,1.483,35.693
2021,2,Tucumán,32,97,40.224,51.648,23.732,5.022,109.616,2.680,233.051
2021,1,Buenos Aires,36.939,31.187,1.108.368,240.520,163.747,222.061,2.246.313,10.867,4.060.002
2021,1,Capital Federal,135,244,159.662,76.753,56.457,83.255,1.003.041,126,1.379.673
2021,1,Catamarca,71,0,7.423,8.455,10.115,712,22.996,2.196,51.968
2021,1,Chaco,301,112,24.357,22.102,27.556,14.496,42.462,8.384,139.770
2021,1,Chubut,106,109,86.986,21.401,15.392,2.844,1.112,4.390,132.340
2021,1,Córdoba,93,2.386,211.799,135.092,74.659,71.984,402.191,12.677,910.881
2021,1,Corrientes,67,527,31.544,26.223,26.169,9.001,27.641,5.453,126.625
2021,1,Entre Ríos,105,2.911,67.255,56.060,42.432,15.774,54.600,12.826,251.963
2021,1,Formosa,56,0,22.409,7.569,7.916,1.215,9.579,1.942,50.686
2021,1,Jujuy,49,175,23.735,17.293,40.649,568,25.609,2.378,110.456
2021,1,La Pampa,298,554,68.200,7.864,7.611,2.786,7.368,2.424,97.105
2021,1,La Rioja,18,1,36.749,5.968,4.604,215,5.074,-1,52.628
2021,1,Mendoza,28,40,134.386,11.216,52.533,4.061,16.615,44,218.923
2021,1,Misiones,51,524,40.949,25.503,27.101,14.050,32.953,8.256,149.387
2021,1,Neuquén,116,327,56.171,8.443,5.903,5.677,50.840,5.758,133.235
2021,1,Río Negro,125,466,70.011,4.187,13.045,3.642,29.589,20.103,141.168
2021,1,Salta,109,20,40.785,68.149,9.164,8.139,54.889,6.319,187.574
2021,1,San Juan,25,194,60.439,858,11.494,340,276,4.641,78.267
2021,1,San Luis,58,0,11.889,2.926,4.429,62.913,22,36.917,119.154
2021,1,Santa Cruz,50,0,30.655,8.334,6.987,1.337,647,-1.945,46.065
2021,1,Santa Fe,518,891,201.632,204.458,91.846,65.476,236.924,24.382,826.127
2021,1,Santiago Del Estero,123,909,33.884,58.464,8.549,700,4.868,4.144,111.641
2021,1,Tierra Del Fuego,17,0,21.379,1.468,4.317,486,919,11.836,40.422
2021,1,Tucumán,29,97,42.810,53.416,25.255,4.188,103.437,2.680,231.912
2020,4,Buenos Aires,36.939,31.197,1.109.865,242.243,214.171,213.588,2.176.242,9.016,4.033.261
2020,4,Capital Federal,135,244,160.210,78.123,60.208,80.269,1.000.073,268,1.379.530
2020,4,Catamarca,71,0,8.843,8.740,11.436,591,20.406,2.309,52.396
2020,4,Chaco,301,112,24.782,22.479,26.802,15.701,40.949,7.965,139.091
2020,4,Chubut,106,109,88.157,21.824,12.046,2.818,1.112,4.402,130.574
2020,4,Córdoba,119,2.386,214.963,135.262,82.221,70.013,384.169,13.568,902.701
2020,4,Corrientes,67,527,31.900,26.321,25.687,9.383,26.789,4.985,125.659
2020,4,Entre Ríos,105,2.911,65.659,53.556,40.755,16.600,53.141,14.654,247.381
2020,4,Formosa,56,0,23.540,7.606,7.181,1.197,8.946,1.680,50.206
2020,4,Jujuy,49,182,23.772,14.379,44.930,446,19.282,2.811,105.851
2020,4,La Pampa,298,554,70.184,8.124,6.562,2.396,6.257,2.520,96.895
2020,4,La Rioja,18,1,36.906,6.060,4.633,181,4.979,0,52.778
2020,4,Mendoza,28,40,146.312,11.172,40.396,3.378,11.557,2.570,215.453
2020,4,Misiones,51,524,39.988,26.078,26.445,14.810,32.264,7.001,147.161
2020,4,Neuquén,116,327,56.434,8.478,5.791,5.493,50.776,5.720,133.135
2020,4,Río Negro,125,466,70.305,4.153,13.131,3.512,29.372,20.146,141.210
2020,4,Salta,109,514,41.443,68.829,15.188,8.291,46.697,6.319,187.390
2020,4,San Juan,25,194,61.316,740,5.126,332,275,4.588,72.596
2020,4,San Luis,58,0,14.020,3.490,2.688,62.239,22,36.918,119.435
2020,4,Santa Cruz,47,0,27.173,4.382,6.634,1.033,647,758,40.674
2020,4,Santa Fe,518,891,206.372,203.793,94.246,65.145,226.246,23.602,820.813
2020,4,Santiago Del Estero,123,909,34.518,57.590,4.666,411,4.520,3.932,106.669
2020,4,Tierra Del Fuego,17,0,21.881,6.119,3.497,488,922,6.690,39.614
2020,4,Tucumán,29,97,44.095,54.334,32.155,4.105,93.594,2.680,231.089
2020,3,Buenos Aires,37.542,31.514,1.113.823,234.710,219.772,194.248,2.085.815,19.853,3.937.277
2020,3,Capital Federal,264,312,162.222,85.083,68.753,78.028,977.766,247,1.372.675
2020,3,Catamarca,63,0,8.276,8.768,11.195,562,18.886,2.154,49.904
2020,3,Chaco,308,112,24.675,21.639,27.546,13.751,38.729,7.194,133.954
2020,3,Chubut,158,109,87.559,22.114,12.217,2.818,1.110,3.942,130.027
2020,3,Córdoba,168,3.064,218.599,124.833,84.236,63.823,361.021,11.728,867.472
2020,3,Corrientes,72,527,35.190,23.315,25.308,8.615,25.344,5.020,123.391
2020,3,Entre Ríos,130,2.911,66.648,51.478,40.797,14.377,49.395,15.759,241.495
2020,3,Formosa,391,151,23.163,7.432,7.125,991,8.219,1.737,49.209
2020,3,Jujuy,55,182,32.131,10.566,45.198,293,15.238,3.065,106.728
2020,3,La Pampa,293,810,66.695,7.820,5.577,2.189,6.322,4.029,93.735
2020,3,La Rioja,21,1,37.105,5.955,4.660,124,4.748,2,52.616
2020,3,Mendoza,58,40,141.404,12.123,42.433,3.448,8.237,45,207.788
2020,3,Misiones,71,524,39.005,24.215,25.942,13.663,30.987,8.779,143.186
2020,3,Neuquén,218,327,60.463,6.561,5.975,5.449,49.439,803,129.235
2020,3,Río Negro,114,466,68.986,3.769,7.096,3.455,28.488,19.093,131.467
2020,3,Salta,129,514,32.780,64.736,15.990,7.928,43.773,14.996,180.846
2020,3,San Juan,48,194,65.526,711,6.529,41,128,4.150,77.327
2020,3,San Luis,105,0,12.199,3.351,2.666,61.319,8,36.917,116.565
2020,3,Santa Cruz,66,0,26.888,4.015,6.730,629,120,833,39.281
2020,3,Santa Fe,568,1.241,213.353,199.381,92.095,58.797,210.562,27.001,802.998
2020,3,Santiago Del Estero,133,909,33.287,57.418,4.658,292,3.994,4.801,105.492
2020,3,Tierra Del Fuego,11,0,22.094,5.414,3.726,481,937,6.992,39.655
2020,3,Tucumán,52,97,45.913,54.610,33.126,3.246,84.195,2.637,223.876
2020,2,Buenos Aires,37.542,31.606,1.129.236,241.336,233.132,188.995,1.894.466,21.233,3.777.546
2020,2,Capital Federal,264,312,166.474,94.585,79.858,80.160,935.481,687,1.357.821
2020,2,Catamarca,63,0,8.801,8.690,10.242,426,16.578,3.176,47.976
2020,2,Chaco,308,928,24.350,21.140,29.044,12.082,33.311,6.969,128.132
2020,2,Chubut,158,109,69.578,22.188,10.537,1.473,614,3.999,108.656
2020,2,Córdoba,168,4.383,219.025,125.932,89.530,63.216,325.243,8.971,836.468
2020,2,Corrientes,72,527,34.242,22.845,25.844,7.898,22.418,5.020,118.866
2020,2,Entre Ríos,130,3.679,66.758,50.640,42.090,12.856,43.391,14.569,234.113
2020,2,Formosa,391,151,23.534,7.109,6.998,961,7.475,1.313,47.932
2020,2,Jujuy,55,182,30.548,10.519,26.829,209,9.417,16.557,94.316
2020,2,La Pampa,293,810,71.218,7.531,3.800,1.657,3.377,1.123,89.809
2020,2,La Rioja,21,1,37.375,5.661,4.686,73,4.336,2,52.155
2020,2,Mendoza,58,40,142.253,12.439,35.274,3.248,5.422,2.450,201.184
2020,2,Misiones,71,524,39.867,23.719,26.445,12.305,28.763,8.646,140.340
2020,2,Neuquén,218,327,61.171,6.103,6.625,5.296,46.432,0,126.172
2020,2,Río Negro,114,466,70.817,3.335,7.498,3.246,26.953,17.057,129.486
2020,2,Salta,129,514,41.801,64.463,16.989,7.741,39.594,6.531,177.762
2020,2,San Juan,48,194,59.113,917,4.908,40,127,4.430,69.777
2020,2,San Luis,105,0,11.439,3.585,1.934,60.889,8,35.992,113.952
2020,2,Santa Cruz,66,0,26.938,4.166,6.541,546,119,493,38.869
2020,2,Santa Fe,568,2.061,213.054,198.772,96.575,57.236,189.473,20.193,777.932
2020,2,Santiago Del Estero,133,1.779,32.557,57.709,5.178,247,3.328,4.516,105.447
2020,2,Tierra Del Fuego,11,0,22.325,5.186,3.034,391,796,7.446,39.189
