Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022,4,Buenos Aires,5,6,5
2022,4,Capital Federal,2,2,2
2022,4,Catamarca,71,1,71
2022,4,Chaco,144,5,144
2022,4,Chubut,168,904,169
2022,4,Córdoba,1,68,1
2022,4,Corrientes,155,4,155
2022,4,Entre Ríos,271,22,271
2022,4,Formosa,62,0,62
2022,4,Jujuy,118,0,118
2022,4,La Pampa,114,171,114
2022,4,La Rioja,86,4,86
2022,4,Mendoza,291,777,292
2022,4,Misiones,186,0,186
2022,4,Neuquén,160,468,160
2022,4,Río Negro,162,548,162
2022,4,Salta,206,5,206
2022,4,San Juan,104,281,104
2022,4,San Luis,135,192,135
2022,4,Santa Cruz,50,198,50
2022,4,Santa Fe,888,110,888
2022,4,Santiago Del Estero,119,2,119
2022,4,Tierra Del Fuego,55,312,55
2022,4,Tucumán,263,30,263
2022,3,Buenos Aires,5,6,5
2022,3,Capital Federal,2,2,2
2022,3,Catamarca,70,1,70
2022,3,Chaco,144,5,144
2022,3,Chubut,165,904,166
2022,3,Córdoba,1,68,1
2022,3,Corrientes,145,4,145
2022,3,Entre Ríos,269,22,269
2022,3,Formosa,69,1,69
2022,3,Jujuy,119,0,119
2022,3,La Pampa,116,171,116
2022,3,La Rioja,87,4,87
2022,3,Mendoza,289,777,290
2022,3,Misiones,182,0,182
2022,3,Neuquén,163,468,163
2022,3,Río Negro,160,548,161
2022,3,Salta,205,5,205
2022,3,San Juan,103,281,103
2022,3,San Luis,122,182,122
2022,3,Santa Cruz,49,198,50
2022,3,Santa Fe,888,110,888
2022,3,Santiago Del Estero,119,2,119
2022,3,Tierra Del Fuego,54,312,54
2022,3,Tucumán,263,30,263
2022,2,Buenos Aires,5,6,5
2022,2,Capital Federal,2,2,2
2022,2,Catamarca,67,1,67
2022,2,Chaco,144,5,144
2022,2,Chubut,162,904,163
2022,2,Córdoba,1,68,1
2022,2,Corrientes,145,4,145
2022,2,Entre Ríos,269,22,269
2022,2,Formosa,68,0,68
2022,2,Jujuy,115,0,115
2022,2,La Pampa,111,171,112
2022,2,La Rioja,86,4,86
2022,2,Mendoza,279,777,280
2022,2,Misiones,179,0,179
2022,2,Neuquén,162,468,162
2022,2,Río Negro,159,548,160
2022,2,Salta,203,5,203
2022,2,San Juan,100,281,100
2022,2,San Luis,122,182,122
2022,2,Santa Cruz,49,198,49
2022,2,Santa Fe,879,110,879
2022,2,Santiago Del Estero,118,2,118
2022,2,Tierra Del Fuego,53,312,54
2022,2,Tucumán,254,30,255
2022,1,Buenos Aires,5,6,5
2022,1,Capital Federal,1,2,1
2022,1,Catamarca,62,1,62
2022,1,Chaco,144,5,144
2022,1,Chubut,171,927,172
2022,1,Córdoba,1,74,1
2022,1,Corrientes,143,4,143
2022,1,Entre Ríos,268,22,268
2022,1,Formosa,55,0,55
2022,1,Jujuy,117,0,117
2022,1,La Pampa,110,172,110
2022,1,La Rioja,84,4,84
2022,1,Mendoza,274,786,275
2022,1,Misiones,172,0,172
2022,1,Neuquén,149,471,150
2022,1,Río Negro,157,553,157
2022,1,Salta,198,5,198
2022,1,San Juan,88,290,88
2022,1,San Luis,120,185,120
2022,1,Santa Cruz,49,204,49
2022,1,Santa Fe,870,115,870
2022,1,Santiago Del Estero,116,2,116
2022,1,Tierra Del Fuego,52,313,53
2022,1,Tucumán,246,30,246
2021,4,Buenos Aires,5,6,5
2021,4,Capital Federal,1,2,1
2021,4,Catamarca,59,1,59
2021,4,Chaco,144,5,144
2021,4,Chubut,159,944,160
2021,4,Córdoba,987,77,987
2021,4,Corrientes,136,4,136
2021,4,Entre Ríos,265,22,265
2021,4,Formosa,54,0,54
2021,4,Jujuy,114,0,114
2021,4,La Pampa,107,173,107
2021,4,La Rioja,83,4,83
2021,4,Mendoza,267,804,268
2021,4,Misiones,171,0,171
2021,4,Neuquén,147,477,147
2021,4,Río Negro,153,564,154
2021,4,Salta,199,6,199
2021,4,San Juan,80,291,80
2021,4,San Luis,119,187,119
2021,4,Santa Cruz,48,210,48
2021,4,Santa Fe,866,176,866
2021,4,Santiago Del Estero,116,2,116
2021,4,Tierra Del Fuego,52,315,52
2021,4,Tucumán,239,30,239
2021,3,Buenos Aires,4,5,4
2021,3,Capital Federal,1,2,1
2021,3,Catamarca,56,1,56
2021,3,Chaco,140,3,140
2021,3,Chubut,155,800,156
2021,3,Córdoba,947,62,947
2021,3,Corrientes,134,3,134
2021,3,Entre Ríos,260,15,260
2021,3,Formosa,53,0,53
2021,3,Jujuy,111,0,111
2021,3,La Pampa,100,116,100
2021,3,La Rioja,82,3,82
2021,3,Mendoza,255,619,256
2021,3,Misiones,159,0,159
2021,3,Neuquén,139,373,140
2021,3,Río Negro,144,501,145
2021,3,Salta,196,2,196
2021,3,San Juan,79,256,79
2021,3,San Luis,118,148,118
2021,3,Santa Cruz,49,197,49
2021,3,Santa Fe,841,151,842
2021,3,Santiago Del Estero,115,1,115
2021,3,Tierra Del Fuego,50,289,50
2021,3,Tucumán,232,25,232
2021,2,Buenos Aires,4,5,4
2021,2,Capital Federal,1,2,1
2021,2,Catamarca,56,1,56
2021,2,Chaco,141,3,141
2021,2,Chubut,138,825,139
2021,2,Córdoba,931,62,931
2021,2,Corrientes,129,3,130
2021,2,Entre Ríos,258,15,258
2021,2,Formosa,52,0,52
2021,2,Jujuy,112,0,112
2021,2,La Pampa,98,116,98
2021,2,La Rioja,82,3,82
2021,2,Mendoza,229,619,230
2021,2,Misiones,156,0,156
2021,2,Neuquén,138,373,138
2021,2,Río Negro,144,501,144
2021,2,Salta,192,2,192
2021,2,San Juan,79,256,79
2021,2,San Luis,123,148,123
2021,2,Santa Cruz,49,197,49
2021,2,Santa Fe,840,151,841
2021,2,Santiago Del Estero,114,1,114
2021,2,Tierra Del Fuego,35,289,36
2021,2,Tucumán,233,25,233
2021,1,Buenos Aires,4,5,4
2021,1,Capital Federal,1,1,1
2021,1,Catamarca,52,1,52
2021,1,Chaco,140,3,140
2021,1,Chubut,132,825,132
2021,1,Córdoba,911,55,911
2021,1,Corrientes,127,3,127
2021,1,Entre Ríos,252,13,252
2021,1,Formosa,51,0,51
2021,1,Jujuy,110,0,110
2021,1,La Pampa,97,116,97
2021,1,La Rioja,53,3,53
2021,1,Mendoza,218,615,219
2021,1,Misiones,149,0,149
2021,1,Neuquén,133,373,133
2021,1,Río Negro,141,501,141
2021,1,Salta,188,2,188
2021,1,San Juan,78,256,78
2021,1,San Luis,119,148,119
2021,1,Santa Cruz,46,197,46
2021,1,Santa Fe,826,137,826
2021,1,Santiago Del Estero,112,1,112
2021,1,Tierra Del Fuego,40,289,40
2021,1,Tucumán,232,22,232
2020,4,Buenos Aires,4,5,4
2020,4,Capital Federal,1,1,1
2020,4,Catamarca,52,1,52
2020,4,Chaco,139,3,139
2020,4,Chubut,130,825,131
2020,4,Córdoba,903,55,903
2020,4,Corrientes,126,3,126
2020,4,Entre Ríos,247,13,247
2020,4,Formosa,50,0,50
2020,4,Jujuy,106,0,106
2020,4,La Pampa,97,116,97
2020,4,La Rioja,53,3,53
2020,4,Mendoza,215,615,215
2020,4,Misiones,147,0,147
2020,4,Neuquén,133,373,133
2020,4,Río Negro,141,501,141
2020,4,Salta,187,2,187
2020,4,San Juan,72,256,73
2020,4,San Luis,119,148,119
2020,4,Santa Cruz,40,197,41
2020,4,Santa Fe,821,137,821
2020,4,Santiago Del Estero,107,1,107
2020,4,Tierra Del Fuego,39,289,40
2020,4,Tucumán,231,22,231
2020,3,Buenos Aires,4,5,4
2020,3,Capital Federal,1,1,1
2020,3,Catamarca,50,1,50
2020,3,Chaco,134,3,134
2020,3,Chubut,129,825,130
2020,3,Córdoba,867,55,867
2020,3,Corrientes,123,3,123
2020,3,Entre Ríos,241,13,241
2020,3,Formosa,49,0,49
2020,3,Jujuy,107,0,107
2020,3,La Pampa,94,116,94
2020,3,La Rioja,53,3,53
2020,3,Mendoza,207,615,208
2020,3,Misiones,143,0,143
2020,3,Neuquén,129,373,129
2020,3,Río Negro,131,501,131
2020,3,Salta,181,2,181
2020,3,San Juan,77,256,77
2020,3,San Luis,116,148,117
2020,3,Santa Cruz,39,197,39
2020,3,Santa Fe,803,137,803
2020,3,Santiago Del Estero,105,1,105
2020,3,Tierra Del Fuego,39,289,40
2020,3,Tucumán,224,22,224
2020,2,Buenos Aires,4,5,4
2020,2,Capital Federal,1,1,1
2020,2,Catamarca,48,1,48
2020,2,Chaco,128,3,128
2020,2,Chubut,108,825,109
2020,2,Córdoba,836,55,836
2020,2,Corrientes,119,3,119
2020,2,Entre Ríos,234,13,234
2020,2,Formosa,48,0,48
2020,2,Jujuy,94,0,94
2020,2,La Pampa,90,116,90
2020,2,La Rioja,52,3,52
2020,2,Mendoza,201,615,201
2020,2,Misiones,140,0,140
2020,2,Neuquén,126,373,126
2020,2,Río Negro,129,501,129
2020,2,Salta,178,2,178
2020,2,San Juan,70,256,70
2020,2,San Luis,114,148,114
2020,2,Santa Cruz,39,197,39
2020,2,Santa Fe,778,137,778
2020,2,Santiago Del Estero,105,1,105
2020,2,Tierra Del Fuego,39,289,39
2020,2,Tucumán,217,22,217
2020,1,Buenos Aires,4,5,4
2020,1,Capital Federal,1,1,1
2020,1,Catamarca,40,1,40
2020,1,Chaco,120,3,120
2020,1,Chubut,96,800,97
2020,1,Córdoba,811,55,811
2020,1,Corrientes,114,3,114
2020,1,Entre Ríos,232,13,232
2020,1,Formosa,46,0,46
2020,1,Jujuy,92,0,92
2020,1,La Pampa,89,116,89
2020,1,La Rioja,48,3,48
2020,1,Mendoza,183,615,183
2020,1,Misiones,134,0,134
2020,1,Neuquén,121,373,122
2020,1,Río Negro,126,501,126
2020,1,Salta,170,2,170
2020,1,San Juan,64,256,64
2020,1,San Luis,110,148,111
2020,1,Santa Cruz,39,197,39
2020,1,Santa Fe,771,137,771
2020,1,Santiago Del Estero,103,1,103
2020,1,Tierra Del Fuego,39,289,39
2020,1,Tucumán,200,22,200
2019,4,Buenos Aires,4,5,4
2019,4,Capital Federal,1,1,1
2019,4,Catamarca,38,1,38
2019,4,Chaco,118,3,118
2019,4,Chubut,95,810,96
2019,4,Córdoba,807,55,807
2019,4,Corrientes,114,3,114
2019,4,Entre Ríos,239,13,239
2019,4,Formosa,47,0,47
2019,4,Jujuy,89,0,89
2019,4,La Pampa,90,119,90
2019,4,La Rioja,49,3,49
2019,4,Mendoza,185,623,186
2019,4,Misiones,136,0,136
2019,4,Neuquén,116,376,116
2019,4,Río Negro,127,504,127
2019,4,Salta,172,2,172
2019,4,San Juan,65,259,65
2019,4,San Luis,108,148,108
2019,4,Santa Cruz,39,200,39
2019,4,Santa Fe,769,150,769
2019,4,Santiago Del Estero,104,1,104
2019,4,Tierra Del Fuego,40,291,40
2019,4,Tucumán,199,23,199
2019,3,Buenos Aires,4,10,4
2019,3,Capital Federal,1,3,1
2019,3,Catamarca,32,9,32
2019,3,Chaco,114,13,114
2019,3,Chubut,87,2,89
2019,3,Córdoba,783,107,783
2019,3,Corrientes,113,10,113
2019,3,Entre Ríos,238,45,238
2019,3,Formosa,46,0,46
2019,3,Jujuy,87,1,87
2019,3,La Pampa,91,269,91
2019,3,La Rioja,50,18,50
2019,3,Mendoza,223,1,224
2019,3,Misiones,134,0,134
2019,3,Neuquén,123,2,125
2019,3,Río Negro,143,904,144
2019,3,Salta,152,1,152
2019,3,San Juan,73,563,73
2019,3,San Luis,122,291,123
2019,3,Santa Cruz,38,328,38
2019,3,Santa Fe,761,228,761
2019,3,Santiago Del Estero,133,2,133
2019,3,Tierra Del Fuego,48,544,49
2019,3,Tucumán,164,32,164
2019,2,Buenos Aires,4,10,4
2019,2,Capital Federal,1,3,1
2019,2,Catamarca,34,9,34
2019,2,Chaco,109,13,109
2019,2,Chubut,86,2,88
2019,2,Córdoba,775,105,775
2019,2,Corrientes,112,10,112
2019,2,Entre Ríos,236,44,236
2019,2,Formosa,46,0,46
2019,2,Jujuy,87,1,87
2019,2,La Pampa,90,268,90
2019,2,La Rioja,50,18,50
2019,2,Mendoza,223,1,224
2019,2,Misiones,133,0,133
2019,2,Neuquén,121,2,123
2019,2,Río Negro,138,915,139
2019,2,Salta,143,1,143
2019,2,San Juan,69,564,70
2019,2,San Luis,117,291,117
2019,2,Santa Cruz,30,325,31
2019,2,Santa Fe,743,226,743
2019,2,Santiago Del Estero,127,2,127
2019,2,Tierra Del Fuego,47,544,47
2019,2,Tucumán,166,32,166
2019,1,Buenos Aires,4,10,4
2019,1,Capital Federal,1,3,1
2019,1,Catamarca,34,9,34
2019,1,Chaco,104,13,104
2019,1,Chubut,78,2,80
2019,1,Córdoba,744,105,744
2019,1,Corrientes,102,10,102
2019,1,Entre Ríos,232,44,232
2019,1,Formosa,45,0,45
2019,1,Jujuy,90,1,90
2019,1,La Pampa,89,268,89
2019,1,La Rioja,52,18,52
2019,1,Mendoza,205,1,206
2019,1,Misiones,123,0,123
2019,1,Neuquén,112,2,114
2019,1,Río Negro,120,915,121
2019,1,Salta,136,1,136
2019,1,San Juan,62,564,62
2019,1,San Luis,96,291,96
2019,1,Santa Cruz,25,325,25
2019,1,Santa Fe,737,227,737
2019,1,Santiago Del Estero,90,2,90
2019,1,Tierra Del Fuego,46,544,46
2019,1,Tucumán,172,32,172
2018,4,Buenos Aires,4,10,4
2018,4,Capital Federal,1,3,1
2018,4,Catamarca,34,9,34
2018,4,Chaco,103,13,103
2018,4,Chubut,77,2,79
2018,4,Córdoba,737,105,737
2018,4,Corrientes,101,10,101
2018,4,Entre Ríos,222,44,222
2018,4,Formosa,45,0,45
2018,4,Jujuy,90,1,90
2018,4,La Pampa,85,268,86
2018,4,La Rioja,52,18,52
2018,4,Mendoza,205,1,206
2018,4,Misiones,116,0,116
2018,4,Neuquén,112,2,114
2018,4,Río Negro,116,915,117
2018,4,Salta,135,1,135
2018,4,San Juan,62,564,62
2018,4,San Luis,96,291,96
2018,4,Santa Cruz,24,325,25
2018,4,Santa Fe,720,229,720
2018,4,Santiago Del Estero,89,2,89
2018,4,Tierra Del Fuego,46,544,46
2018,4,Tucumán,172,32,172
2018,3,Buenos Aires,4,11,4
2018,3,Capital Federal,1,7,1
2018,3,Catamarca,34,11,34
2018,3,Chaco,102,12,102
2018,3,Chubut,101,2,104
2018,3,Córdoba,726,94,726
2018,3,Corrientes,99,11,99
2018,3,Entre Ríos,205,48,205
2018,3,Formosa,45,0,45
2018,3,Jujuy,45,1,45
2018,3,La Pampa,83,244,83
2018,3,La Rioja,52,17,52
2018,3,Mendoza,206,1,207
2018,3,Misiones,108,0,108
2018,3,Neuquén,115,2,117
2018,3,Río Negro,112,1,113
2018,3,Salta,133,1,133
2018,3,San Juan,64,658,64
2018,3,San Luis,74,300,74
